ATTITUDE {time_boot_ms : 832010, roll : -0.0883866399526596, pitch : -0.022903956472873688, yaw : -2.210416316986084, rollspeed : -6.409198977053165e-05, pitchspeed : 0.000571494922041893, yawspeed : 0.0006779774557799101}
ATTITUDE {time_boot_ms : 832060, roll : -0.08837643265724182, pitch : -0.022887926548719406, yaw : -2.210395336151123, rollspeed : -0.0002654015552252531, pitchspeed : 5.570973735302687e-05, yawspeed : 0.0007944767130538821}
ATTITUDE {time_boot_ms : 832110, roll : -0.08837636560201645, pitch : -0.022881247103214264, yaw : -2.21040415763855, rollspeed : -0.0001329637598246336, pitchspeed : 5.361836520023644e-05, yawspeed : -1.5642319340258837e-05}
ATTITUDE {time_boot_ms : 832160, roll : -0.08839868754148483, pitch : -0.02287878468632698, yaw : -2.2104227542877197, rollspeed : -8.259061723947525e-05, pitchspeed : 0.00010691625357139856, yawspeed : -0.0003019306459464133}
ATTITUDE {time_boot_ms : 832210, roll : -0.0884217694401741, pitch : -0.022825416177511215, yaw : -2.2104220390319824, rollspeed : -0.0005322317592799664, pitchspeed : 0.0010703883599489927, yawspeed : 0.00021289457799866796}
ATTITUDE {time_boot_ms : 832260, roll : -0.08841077238321304, pitch : -0.022798798978328705, yaw : -2.2103934288024902, rollspeed : 0.0005656402790918946, pitchspeed : 0.00026601419085636735, yawspeed : 0.0008833474712446332}
ATTITUDE {time_boot_ms : 832310, roll : -0.08840159326791763, pitch : -0.022822681814432144, yaw : -2.2103941440582275, rollspeed : 0.00017412425950169563, pitchspeed : -0.00043111119884997606, yawspeed : 0.0006179358460940421}
ATTITUDE {time_boot_ms : 832360, roll : -0.08840333670377731, pitch : -0.022852018475532532, yaw : -2.210390090942383, rollspeed : 3.5025179386138916e-05, pitchspeed : -0.0006937106954865158, yawspeed : -0.00016874406719580293}
ATTITUDE {time_boot_ms : 832410, roll : -0.0883897989988327, pitch : -0.022873718291521072, yaw : -2.210404634475708, rollspeed : 0.00039551162626594305, pitchspeed : -0.0008425991982221603, yawspeed : 0.00042580184526741505}
ATTITUDE {time_boot_ms : 832460, roll : -0.08836241066455841, pitch : -0.022932540625333786, yaw : -2.2103934288024902, rollspeed : 0.0009723380208015442, pitchspeed : -0.0020642313174903393, yawspeed : 0.0003163143992424011}
ATTITUDE {time_boot_ms : 832510, roll : -0.08835531026124954, pitch : -0.022990338504314423, yaw : -2.2104053497314453, rollspeed : 0.00012349628377705812, pitchspeed : -0.0010262023424729705, yawspeed : -0.00011514819925650954}
ATTITUDE {time_boot_ms : 832560, roll : -0.08835726976394653, pitch : -0.02296449989080429, yaw : -2.21041202545166, rollspeed : 0.00013362022582441568, pitchspeed : 0.0007356530986726284, yawspeed : -0.00046516850125044584}
ATTITUDE {time_boot_ms : 832610, roll : -0.08839273452758789, pitch : -0.022929374128580093, yaw : -2.2103848457336426, rollspeed : -0.0009655600879341364, pitchspeed : 0.0006344035500660539, yawspeed : 0.000916653370950371}
ATTITUDE {time_boot_ms : 832660, roll : -0.08838451653718948, pitch : -0.022923946380615234, yaw : -2.210409641265869, rollspeed : -0.0004205598961561918, pitchspeed : -0.00018958051805384457, yawspeed : 0.00015764485578984022}
ATTITUDE {time_boot_ms : 832710, roll : -0.08837370574474335, pitch : -0.022942595183849335, yaw : -2.210409641265869, rollspeed : 0.00021473714150488377, pitchspeed : -0.0005572466179728508, yawspeed : 0.000562535657081753}
